#match_datetime,teamA,teamB,bet_score,win_ratio
2022-12-6T18:00,Maroc,Tây Ban Nha,1_0,15
2022-12-6T18:00,Maroc,Tây Ban Nha,2_0,41
2022-12-6T18:00,Maroc,Tây Ban Nha,2_1,23
2022-12-6T18:00,Maroc,Tây Ban Nha,3_0,101
2022-12-6T18:00,Maroc,Tây Ban Nha,3_1,81
2022-12-6T18:00,Maroc,Tây Ban Nha,3_2,81
2022-12-6T18:00,Maroc,Tây Ban Nha,4_0,201
2022-12-6T18:00,Maroc,Tây Ban Nha,4_1,201
2022-12-6T18:00,Maroc,Tây Ban Nha,4_2,201
2022-12-6T18:00,Maroc,Tây Ban Nha,4_3,201
2022-12-6T18:00,Maroc,Tây Ban Nha,5_0,251
2022-12-6T18:00,Maroc,Tây Ban Nha,5_1,251
2022-12-6T18:00,Maroc,Tây Ban Nha,5_2,251
2022-12-6T18:00,Maroc,Tây Ban Nha,6_0,251
2022-12-6T18:00,Maroc,Tây Ban Nha,6_1,251
2022-12-6T18:00,Maroc,Tây Ban Nha,6_2,251
2022-12-6T18:00,Maroc,Tây Ban Nha,7_0,251
2022-12-6T18:00,Maroc,Tây Ban Nha,7_1,251
2022-12-6T18:00,Maroc,Tây Ban Nha,8_0,251
2022-12-6T18:00,Maroc,Tây Ban Nha,0_0,9.5
2022-12-6T18:00,Maroc,Tây Ban Nha,1_1,8
2022-12-6T18:00,Maroc,Tây Ban Nha,2_2,23
2022-12-6T18:00,Maroc,Tây Ban Nha,3_3,101
2022-12-6T18:00,Maroc,Tây Ban Nha,4_4,251
2022-12-6T18:00,Maroc,Tây Ban Nha,0_1,5.8
2022-12-6T18:00,Maroc,Tây Ban Nha,0_2,6.5
2022-12-6T18:00,Maroc,Tây Ban Nha,0_3,11
2022-12-6T18:00,Maroc,Tây Ban Nha,0_4,23
2022-12-6T18:00,Maroc,Tây Ban Nha,0_5,56
2022-12-6T18:00,Maroc,Tây Ban Nha,0_6,126
2022-12-6T18:00,Maroc,Tây Ban Nha,0_7,201
2022-12-6T18:00,Maroc,Tây Ban Nha,0_8,251
2022-12-6T18:00,Maroc,Tây Ban Nha,0_9,251
2022-12-6T18:00,Maroc,Tây Ban Nha,1_2,9.5
2022-12-6T18:00,Maroc,Tây Ban Nha,1_3,15
2022-12-6T18:00,Maroc,Tây Ban Nha,1_4,34
2022-12-6T18:00,Maroc,Tây Ban Nha,1_5,71
2022-12-6T18:00,Maroc,Tây Ban Nha,1_6,151
2022-12-6T18:00,Maroc,Tây Ban Nha,1_7,201
2022-12-6T18:00,Maroc,Tây Ban Nha,2_3,41
2022-12-6T18:00,Maroc,Tây Ban Nha,2_4,71
2022-12-6T18:00,Maroc,Tây Ban Nha,2_5,126
2022-12-6T18:00,Maroc,Tây Ban Nha,2_6,201
2022-12-6T18:00,Maroc,Tây Ban Nha,3_4,151
2022-12-6T18:00,Maroc,Tây Ban Nha,0_10,251
